id;description;text_en;text_ar
1;Home Home Manager;Falkland Islands Pound turquoise;invoice whiteboard JBOD
2;engineer;bypass Practical Granite Pizza;ADP circuit
3;e-markets methodical payment;Baby;Borders bus
4;XSS Mexico;pink Russian Ruble;initiative
5;Security monitor Customer;Bahamian Dollar Plastic Paradigm;Marketing Frozen Product
6;Response;International orchestrate calculating;mint green
7;Cambodia;Officer portals Chicken;Generic
8;Savings Account redefine;pink Alaska;holistic transmit Ball
9;Crossroad Cambridgeshire;deposit budgetary management navigating;Pakistan e-services Practical
10;payment Rand Loti;program;Cambridgeshire Dominican Republic Land
