id;class_name;from_value;to_value;currency;coverage_percentage
1;circuit Ranch Quetzal;83504;95200;withdrawal Metrics empower;42046
2;XML virtual;81769;95996;Turkish Alaska Account;95827
3;Norwegian;74999;13507;input Forward Credit;98866
4;parsing Gloves;10595;21558;bleeding-edge visionary networks;62136
5;Towels;76783;19050;Money;30854
6;Fresh;99306;43401;Ergonomic program;12649
7;Avon 6th;82719;72697;Pa'anga;50026
8;Public-key application;34779;29775;Direct Inverse RAM;26841
9;copying;28292;42762;users Albania;30135
10;tangible;76610;77823;navigate Togo Optimization;71111
