id;name_en;name_ar;description
1;Shoes stable;Avon;Manager tertiary Creative
2;customized olive;Bedfordshire Enterprise-wide South;monitor
3;wireless Coordinator;Maine;brand CSS
4;HDD Arizona;Rustic;Designer haptic
5;synergies;Rustic Colorado;implement
6;District;plug-and-play;networks Zimbabwe Bacon
7;Naira turquoise experiences;card;Tasty
8;calculate;Clothing Saint;invoice navigate empower
9;Zealand Representative Developer;TCP;bandwidth
10;Officer Rwanda Sausages;bandwidth Chile bypass;redundant Virginia Papua
