id;activity;code;global_class;auto_fac_capacity;local_class;bo_rate;pd_rate
1;Massachusetts Computer Handcrafted;Plastic Tuna Won;orange 24/7;50693;override Intelligent Chicken;10547;81278
2;Analyst;Producer;Shoes hacking;3133;forecast Fresh redundant;57489;14756
3;International;Tasty XML;Paradigm;54528;Car Money Regional;17371;30902
4;communities;Rhode integrated;PNG New Shoes;13517;Infrastructure;20578;98675
5;Metal;blue orchestration Nebraska;payment connect;28636;Granite;93633;41987
6;Forward;Mouse Personal Unbranded;web-readiness Clothing hour;74805;withdrawal JSON digital;25527;72801
7;transform;withdrawal;defect Dollar GB;37785;sensor Pants;19817;91835
8;Hungary Rustic;Dong Program Herzegovina;Maine RAM Consultant;39183;primary administration;30363;3481
9;Island;seize Dollar Developer;pixel architectures;70411;Wooden Account;72003;8920
10;Movies Practical Licensed;dot-com;Cambridgeshire vertical;43396;Hat;25586;13435
