id;name;short_name;description;line_type_id;line_type_occupancy
1;Ameliorated;Gabon;Togo;Unbranded;generating Plastic
2;human-resource invoice;International driver;matrix;Bacon invoice calculating;panel Future optical
3;Savings;Branding;markets;iterate;project
4;AGP killer payment;compress;plum;Data client-driven;cross-platform Open-architected Assurance
5;Metal;optical Borders disintermediate;Wooden metrics;Refined Manager;dynamic Fantastic
6;encoding;matrix Bedfordshire Plaza;Berkshire Tasty;Bosnia Kentucky;transmit indigo Trafficway
7;Tasty Rustic;withdrawal Implementation;protocol Sports;embrace;Wooden
8;Bike Turkish asynchronous;Web invoice;Reactive cyan;Chief software;invoice
9;protocol invoice Coordinator;internet XML;District program;transition;neural
10;metrics Licensed Berkshire;Specialist;Flat;Program Morocco;Libyan
