id;line_type_id;name_en;name_ar;description;status;is_allow_multiple_sections
1;53519;Bedfordshire;cohesive;open-source;Active;false
2;23858;reintermediate Dakota neural;e-services Self-enabling invoice;Corporate Pound payment;Active;true
3;93459;IB deploy 24/365;Car;optical;InActive;false
4;64227;Towels;Metrics;Assistant dedicated;Active;false
5;61779;multi-byte Coordinator efficient;feed Solutions array;Sports;Active;false
6;36200;convergence withdrawal calculate;SQL;Metal Massachusetts 24/7;InActive;true
7;65873;Liaison intermediate Gardens;Generic;port;InActive;true
8;79441;payment;lavender well-modulated;Gold foreground;InActive;false
9;31805;optical Taka;Intelligent Group Minor;ADP initiatives bus;InActive;false
10;94473;HTTP Markets;Configurable;virtual Clothing;Active;true
