id;product_id;name_en;name_ar;display_in_template
1;99774;coherent Coordinator maximize;Accountability Jamaica system;false
2;55112;protocol Buckinghamshire;Account;false
3;91508;Berkshire redundant;Utah Plastic Utah;false
4;22500;Shoes strategize Solutions;De-engineered optimize;true
5;3876;Optimization niches plum;mobile;false
6;94800;New firewall;transmitter Licensed multi-state;false
7;78861;cyan;content program;false
8;62096;Kuna cyan;SCSI interface;true
9;18148;withdrawal;collaborative;false
10;31017;Buckinghamshire Grocery;up directional;true
