id;product_id;name_en;name_ar;status;default_sum_up
1;73066;District Toys synthesizing;payment Focused mobile;InActive;Included
2;67092;Kuwaiti;New;Active;Included
3;48046;Soft Horizontal;Balboa models online;Active;Exceluded
4;74477;protocol neural;silver;Active;Included
5;53041;Product;bandwidth;InActive;Exceluded
6;29651;monitor web;Connecticut Frozen e-commerce;InActive;Exceluded
7;35382;RAM Wooden azure;Tuna object-oriented;InActive;Exceluded
8;89562;programming Gourde Concrete;transform emulation;InActive;Exceluded
9;97962;methodical Cambridgeshire local;exploit sky copy;InActive;Included
10;74482;defect;Pound Mobility Music;Active;Included
