id;name_en;name_ar;address;district;city;country
1;Loan bifurcated;Fish;Berkshire;Fantastic Lead Auto;New Pierre;Antarctica (the territory South of 60 deg S)
2;Account;Borders Granite panel;bandwidth;utilize global Customer;D'Amoreside;Israel
3;Director Persevering Bedfordshire;Cambridgeshire;intermediate;Utah Keyboard empowering;O'Connellview;Belize
4;Toys Compatible Parkways;Rubber neural-net;calculating;Engineer;Larsonview;Greenland
5;Hat;Hawaii;standardization;Small redundant;South Dayana;Martinique
6;synthesizing Licensed compress;deposit;invoice bifurcated;purple Interactions Future;Williamsontown;Luxembourg
7;Cross-platform orange Credit;Concrete alliance;Maryland Republic;input bandwidth;East Sandrinemouth;Madagascar
8;Industrial leading-edge;Analyst Lane;bluetooth;Vermont District;Dooleystad;Bosnia and Herzegovina
9;Mission;object-oriented green;Islands Handcrafted;Awesome Fort Cook;Hartmannport;Congo
10;Tuna programming Investor;input;deposit Shoes SSL;Path Armenia;Chico;Peru
