id;name;registeration_number;commission_percentage;status;contact_dial;contact_email
1;payment;West Virginia;25434;InActive;Auto Loan Account Fantastic;Soft bi-directional pixel
2;District;navigate firewall;27931;Active;Kids synthesizing invoice;Small feed Kansas
3;Pound Sterling Ball Liaison;Configuration;46339;InActive;Toys Fantastic;Checking Account
4;Licensed;Clothing;11627;InActive;Boliviano Mvdol Awesome transitional;Harbor Corners
5;Rubber;matrix Montana AI;82338;Active;optical;transparent Games
6;deposit Arkansas;Burgs quantifying Supervisor;32739;InActive;database Idaho;COM Frozen
7;Regional Gorgeous Cotton Ball;Texas Overpass;17981;Active;Legacy;JSON
8;Lead Parkway Zimbabwe Dollar;Kids;88723;InActive;AI synthesize;Moldova world-class
9;Mall gold Credit Card Account;indexing;18007;InActive;HDD driver;Belarussian Ruble Fantastic Personal Loan Account
10;Awesome Rubber;Sports Investment Account IB;91507;InActive;function withdrawal hacking;grow Global Producer
