id;name;registeration_number;commission_percentage;status;contact_dial;contact_email
1;interface;benchmark;95009;Active;compressing Generic Plastic Hat;Berkshire driver RSS
2;payment;Unbranded Soft Bike;19935;InActive;Kuwait;Enterprise-wide
3;white Awesome Plastic Salad Cheese;extend;6147;InActive;Ergonomic Rubber Bacon;connecting interface Chair
4;copying Maryland pricing structure;Interactions Rubber;66449;Active;invoice;Central payment
5;Finland portals;Generic;102;InActive;frictionless radical Principal;Car matrix
6;USB West Virginia;deposit;29324;Active;Home Rest Dynamic;sticky
7;Assistant Security Re-engineered;Home;54636;InActive;models synergies Borders;Integration interactive
8;Handmade open-source;Customizable leading-edge initiatives;25363;InActive;Granite Licensed Soft Chips Gorgeous Cotton Towels;Bedfordshire Tasty Cotton Bacon Licensed
9;virtual Cambridgeshire Rustic Rubber Computer;Games;35880;InActive;circuit compress;regional
10;Tactics channels pink;technologies;642;InActive;quantifying incentivize;web-enabled Money Market Account
