id;name;treaty_id;maximum_limit;product_id;min_limit;retained_amount;ceded_amount;retained_percenatge;ceded_percenatge;surplus;classification_type;nace_code_classification;other_classification;risk_type
1;Virtual Customer-focused;66177;64608;66752;24825;6331;3975;21378;38047;44888;Other;quantifying;Response;AnyoneAccumulatedRisk
2;hard;7447;82171;50156;26552;23002;37188;72826;38062;11305;Other;invoice;installation Expressway incremental;AnyoneAccumulatedRisk
3;Fundamental microchip;75593;69397;58837;48836;81160;8333;21440;8747;62886;Other;monitor;Small Washington;AnyoneRisk
4;Rupee Product;78831;37672;93965;77163;63564;3584;58230;56827;85484;NaceCode;Cotton mission-critical;human-resource Mouse;AnyoneRisk
5;primary Chief Handcrafted;54534;23481;75869;35160;40169;47284;65210;69239;71657;None;partnerships Buckinghamshire;Account;AnyoneRisk
6;withdrawal Unions robust;43306;93180;86658;75440;24317;65932;22015;54676;776;None;Multi-layered Paradigm;redundant;AnyoneRisk
7;Clothing;19640;81591;42277;44667;65189;87874;94390;34197;96964;Other;Supervisor;Account encoding;AnyoneRisk
8;Keyboard IB info-mediaries;63440;56446;70185;95509;57964;43311;57071;25374;23650;None;Montana Lari;withdrawal Soft Cambridgeshire;AnyoneRisk
9;deposit;30095;7898;55924;19966;23651;41465;70295;63839;46431;NaceCode;Metal Sahara Regional;supply-chains mobile;AnyoneRisk
10;Music;46781;86089;93410;10016;15790;51736;20804;90114;7857;Other;connect vortals;Avon productize;AnyoneRisk
